Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 174 took 74.6317560673, cost = 0.04008211568, error = 0.191092165221
Epoch 175 took 74.6387398243, cost = 0.0411780942231, error = 0.194767014552
Epoch 176 took 74.5517420769, cost = 0.0430458784103, error = 0.19895634279
Epoch 177 took 74.6646029949, cost = 0.0426066592336, error = 0.195795972365
Epoch 178 took 74.6338591576, cost = 0.0422219652683, error = 0.194473026606
Epoch 179 took 74.6321568489, cost = 0.0415172353387, error = 0.196604439218
Epoch 180 took 74.6166229248, cost = 0.0415498688817, error = 0.192488607967
Epoch 181 took 74.6500740051, cost = 0.0414424352348, error = 0.188960752609
Epoch 182 took 74.6726341248, cost = 0.0431270059198, error = 0.194473026606
Epoch 183 took 74.6487989426, cost = 0.0416653286666, error = 0.188446273703
Epoch 184 took 74.7510478497, cost = 0.041830342263, error = 0.190357195355
Epoch 185 took 74.832036972, cost = 0.0427278466523, error = 0.191680141114
Epoch 186 took 74.8402650356, cost = 0.041605738923, error = 0.193811553726
Epoch 187 took 74.8323879242, cost = 0.0418429914862, error = 0.191900632074
Epoch 188 took 74.9083640575, cost = 0.0419455748051, error = 0.190724680288
Epoch 189 took 74.6822140217, cost = 0.0502897202969, error = 0.224974276055
Epoch 190 took 74.6848611832, cost = 0.0427824631333, error = 0.200279288549
Epoch 191 took 74.7156569958, cost = 0.0420739799738, error = 0.198662354843
Epoch 192 took 74.6937429905, cost = 0.0426346492022, error = 0.198000881964
Epoch 193 took 74.7094228268, cost = 0.0422753319144, error = 0.199029839777
Epoch 194 took 74.6945259571, cost = 0.0425938591361, error = 0.196824930178
Epoch 195 took 74.6671102047, cost = 0.0433132853359, error = 0.196163457298
Epoch 196 took 74.6911590099, cost = 0.0426746308804, error = 0.193664559753
Epoch 197 took 74.7198290825, cost = 0.042921256274, error = 0.195281493459
Epoch 198 took 74.6895270348, cost = 0.045021366328, error = 0.199764809643
Epoch 199 took 74.6983599663, cost = 0.0443420503289, error = 0.19807437895
Epoch 200 took 74.7078351974, cost = 0.0440933648497, error = 0.196824930178
Epoch 201 took 74.7036747932, cost = 0.0435728449374, error = 0.19851536087
Epoch 202 took 74.6737110615, cost = 0.0448985528201, error = 0.19851536087
Epoch 203 took 74.7039411068, cost = 0.0425801947713, error = 0.194399529619
Epoch 204 took 74.6370749474, cost = 0.0439513679594, error = 0.194840511539
Epoch 205 took 74.8401560783, cost = 0.0434638876468, error = 0.197633397031
Epoch 206 took 74.8291051388, cost = 0.0448927860707, error = 0.198809348817
Epoch 207 took 74.8540630341, cost = 0.0479009207338, error = 0.209907393797
Epoch 208 took 74.6677918434, cost = 0.0449584275484, error = 0.201234749375
Epoch 209 took 74.8610289097, cost = 0.0437324680388, error = 0.19829486991
Epoch 210 took 74.7715501785, cost = 0.0458819549531, error = 0.209980890783
Epoch 211 took 74.6732759476, cost = 0.0444901920855, error = 0.205644568573
Epoch 212 took 74.6742939949, cost = 0.0433513298631, error = 0.195501984419
Epoch 213 took 74.7830338478, cost = 0.0437700264156, error = 0.202778186094
Epoch 214 took 74.8140292168, cost = 0.0440700389445, error = 0.199985300603
Epoch 215 took 74.8809051514, cost = 0.0428738668561, error = 0.195795972365
Epoch 216 took 74.8382549286, cost = 0.0429837238044, error = 0.197559900044
Epoch 217 took 74.8325910568, cost = 0.0435080695897, error = 0.200499779509
Epoch 218 took 74.820068121, cost = 0.0430894549936, error = 0.195501984419
Epoch 219 took 74.8386368752, cost = 0.0435361862183, error = 0.198441863884
Epoch 220 took 74.829862833, cost = 0.0437959078699, error = 0.199103336763
Epoch 221 took 74.8341588974, cost = 0.0432683732361, error = 0.198147875937
Epoch 222 took 74.6986510754, cost = 0.0433769896626, error = 0.195942966338
Epoch 223 took 74.665446043, cost = 0.0432640388608, error = 0.197412906071
Epoch 224 took 74.6573331356, cost = 0.0430784039199, error = 0.194767014552
Epoch 225 took 74.841947794, cost = 0.0440044682473, error = 0.202484198148
Epoch 226 took 74.8082737923, cost = 0.045726371929, error = 0.203292665001
Epoch 227 took 74.8460259438, cost = 0.0445032566786, error = 0.200573276496
Epoch 228 took 74.8034279346, cost = 0.0447755046189, error = 0.198809348817
Epoch 229 took 74.8262650967, cost = 0.0425147432834, error = 0.193885050713
Epoch 230 took 74.8160030842, cost = 0.0439723115414, error = 0.19807437895
Epoch 231 took 74.7211909294, cost = 0.0439330935478, error = 0.200720270469
Epoch 232 took 74.6405351162, cost = 0.0429050251842, error = 0.193370571807
Epoch 233 took 74.727782011, cost = 0.0436034798622, error = 0.195428487432
Epoch 234 took 74.7956571579, cost = 0.0434463191777, error = 0.195942966338
Epoch 235 took 74.8428940773, cost = 0.0436943098903, error = 0.195501984419
